qid,video_id,youtube_url,duration,question_type,capability,question,question_prompt,A,B,C,D,E
0803-7,L4pEorJZ1a0,https://www.youtube.com/shorts/L4pEorJZ1a0,29.53,Multiple-choice Question with a Single Correct Answer,Element Attributes,What is burning in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A bunch of candles,A small blue sponge-like object,A blue cylindrical object,A blue flame was burning on a blue wick,None of the above
0806-7,1dEijri97Qc,https://www.youtube.com/shorts/1dEijri97Qc,19.9,Multiple-choice Question with a Single Correct Answer,Element Counting,How many cables were bundled together in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Four,Six,Three,Five,None of the above
0810-7,A-PdkbPZs6I,https://www.youtube.com/shorts/A-PdkbPZs6I,17.74,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times did the sausage pop up from the holes?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three times,Six times,Four times,Five times,None of the above
0812-7,5NgU4w_qPBg,https://www.youtube.com/shorts/5NgU4w_qPBg,14.76,Multiple-choice Question with a Single Correct Answer,Event Counting,How many times did the person try to place the toy into the drawer?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",2,3,5,10,None of the above
0816-7,nqyt42Hj00Y,https://www.youtube.com/shorts/nqyt42Hj00Y,20.86,Multiple-choice Question with a Single Correct Answer,Event Localization,What did the person do in the second experiment?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Added more water,Sealed the bottle,Spun the bottle to create a vortex,Inserted a straw,None of the above
0818-7,1_OTyluZCcg,https://www.youtube.com/shorts/1_OTyluZCcg,19.48,Multiple-choice Question with a Single Correct Answer,Element Attributes,What is the little girl holding in her hand?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A book,A toy car,A small bottle,A piece of cash,None of the above
0827-7,yFHKF8TjT5o,https://www.youtube.com/shorts/yFHKF8TjT5o,9.73,Multiple-choice Question with a Single Correct Answer,Element Counting,How many real pandas are in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Two,None,One,Three,None of the above
0833-7,E2ILLN8TiPA,https://www.youtube.com/shorts/E2ILLN8TiPA,48,Multiple-choice Question with a Single Correct Answer,Event Localization,What does the fourth segment of the photo series show?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A person holding a glass jar with a drink.,A person painting on a canvas.,A sunset over the ocean.,A man lying on the sand with his soul flying above him.,None of the above
0835-7,_tVCT7lNvM4,https://www.youtube.com/shorts/_tVCT7lNvM4,60,Multiple-choice Question with a Single Correct Answer,Element Localization,What is visible in the woman's mouth?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A dental appliance,A mouth guard,A silver tooth,A blue tongue stud,None of the above
0841-7,wfszvTxxLkk,https://www.youtube.com/shorts/wfszvTxxLkk,10.75,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which eye did the woman wipe first with the parrot?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Left,Right,,,None of the above
0848-7,wzf8uN_7hNc,https://www.youtube.com/shorts/wzf8uN_7hNc,7.83,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),Which one is the real cat in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The one that becomes bigger at the end of the video.,The one that appears darker.,The one at the bottom with a glossy shine.,The one on top casting a shadow.,None of the above
0854-7,Rjq4L_aIBh0,https://www.youtube.com/shorts/Rjq4L_aIBh0,36.4,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why does the operator of the drop tower ride engage in conversation with the visitors?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To provide safety instructions.,To make them pay more,To make them feel more at ease.,To make them more nervous and scared.,None of the above
0857-7,POwncb1HzPQ,https://www.youtube.com/shorts/POwncb1HzPQ,10.22,Multiple-choice Question with a Single Correct Answer,Plot Attribute,What scenario is the woman in the video imitating?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Being shot,Sleeping,Dancing,Fainting,None of the above
0858-7,3xCt7E3t3Pc,https://www.youtube.com/shorts/3xCt7E3t3Pc,53.82,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),Which armrest did the man in the white short-sleeved shirt initially sit on?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Left armrest,Both armrests,Right armrest,No armrest,None of the above
0865-7,NnjqjqMFdA0,https://www.youtube.com/shorts/NnjqjqMFdA0,6.76,Multiple-choice Question with a Single Correct Answer,Element Counting,How many worms are visible at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,Two,None,One,None of the above
0868-7,XCkJcIeGhS0,https://www.youtube.com/shorts/XCkJcIeGhS0,57.75,Multiple-choice Question with a Single Correct Answer,Element Localization,What color is the tool that the person swings at the beginning of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Green,Red,Silver-brownish,Blue,None of the above
0870-7,Po_UemYmEyg,https://www.youtube.com/shorts/Po_UemYmEyg,59.24,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why did the man give his belongings to the photographer?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",In exchange for food and drinks.,Because he was asked and wanted to help out of kindness.,To receive money.,To get shelter.,None of the above
0871-7,eFW0FRHH1u8,https://www.youtube.com/shorts/eFW0FRHH1u8,13.91,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What is in the middle of the road?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A person holding two bags,A real child playing,A traffic cone,A chalk drawing of a young boy,None of the above
0872-7,6O-PTTfiq48,https://www.youtube.com/shorts/6O-PTTfiq48,59.97,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,"After the man puts down two water bottle packs, which direction did he move the upper pack relative to the camera's perspective?","Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Backward,Right,Forward,Left,None of the above
0875-7,f3fywt6uJBM,https://www.youtube.com/shorts/f3fywt6uJBM,60.08,Multiple-choice Question with a Single Correct Answer,Element Counting,How many cell phones are on the piano in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",None,Two,Three,One,None of the above
0879-7,WVtaMmL93Vs,https://www.youtube.com/shorts/WVtaMmL93Vs,15.05,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What are the hair colors of the figures on the same plane physically?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Brunette and blonde,Black and white,White and black,Blonde and white,None of the above
0880-7,0cKKHnAmncI,https://www.youtube.com/shorts/0cKKHnAmncI,42.98,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What happens to the structure's direction when it is lifted?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It points in the opposite direction.,It points upwards.,It loses its directional illusion.,It spins around.,None of the above
0886-7,5QLh5ias93M,https://www.youtube.com/shorts/5QLh5ias93M,19.29,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Where is the watch worn by the man in black?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",On his ankle,Not wearing a watch,Left wrist,Right wrist,None of the above
0895-7,7hg7oglAyKc,https://www.youtube.com/shorts/7hg7oglAyKc,34.99,Multiple-choice Question with a Single Correct Answer,Event Localization,What scene is shown after the smaller basketball is thrown?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A person shooting into a mini hoop.,A person shooting into a chainsaw-rim hoop.,A person missing a shot.,A person shooting into a regular hoop.,None of the above
0898-7,fD02ePuiOtU,https://www.youtube.com/shorts/fD02ePuiOtU,9.49,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,In which direction did the man move the first pillow after it was on the water?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Right,Left,Back,"Front, nearer to the camera",None of the above
0901-7,pPiXRxb2Vfo,https://www.youtube.com/shorts/pPiXRxb2Vfo,18.24,Multiple-choice Question with a Single Correct Answer,Element Counting,How many rubber bands are held in the hand at the start of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Three,Four,One,Two,None of the above
0905-7,cUxIb3Pt-hQ,https://www.youtube.com/shorts/cUxIb3Pt-hQ,31.81,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),"At the beginning of the video, what type of slope is the ball on?","Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Curved,Uphill,Downhill,Flat,None of the above
0907-7,DP4eZl-4QOY,https://www.youtube.com/shorts/DP4eZl-4QOY,16.96,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Where does the dog land at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",On a bench,On the grass,On the man's body,On a tree,None of the above
0910-7,7_jo2loOZ9Q,https://www.youtube.com/shorts/7_jo2loOZ9Q,47.85,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why does the man keep picking up the child in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To teach the child how to walk.,To help the child cross the street safely.,To play a game with the child.,To conduct a social experiment.,None of the above
0914-7,3TSZfcowUus,https://www.youtube.com/shorts/3TSZfcowUus,16.75,Multiple-choice Question with a Single Correct Answer,Professional Knowledge,Why is the beer bottle placed under the faucet in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To demonstrate how hot water can shrink plastic packaging.,To clean the bottle.,To quickly cool the beer.,To fill the bottle with water.,None of the above
0918-7,KOhSr62NQAY,https://www.youtube.com/shorts/KOhSr62NQAY,20.42,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which hand does the man use to put the soap in the box?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Left hand,Both hands,Neither hand,Right hand,None of the above
0919-7,mtLq3F4lIfY,https://www.youtube.com/shorts/mtLq3F4lIfY,40.83,Multiple-choice Question with a Single Correct Answer,Plot Attribute,How does the man create the rainbow?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",By painting on a wall,By using colored glass,By coloring clear tape with markers,By using a prism,None of the above
0924-7,ubFbhebEchE,https://www.youtube.com/shorts/ubFbhebEchE,24.57,Multiple-choice Question with a Single Correct Answer,Element Localization,What is the red object the woman in the white top is holding at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A red bottle,A red book,A red bag,A red cup,None of the above
0926-7,XaP6KFsFnp4,https://www.youtube.com/shorts/XaP6KFsFnp4,13.89,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which hand is pulling the thread through the needle?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Neither hand,Left hand,Both hands,Right hand,None of the above
0927-7,2DEz3_PwR80,https://youtube.com/shorts/2DEz3_PwR80,18.55,Multiple-choice Question with a Single Correct Answer,Positional Relationship,With which arm does the man in black hold the child?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Left arm,Both arms,Right arm,Neither arm,None of the above
0929-7,9y91My_upXU,https://youtube.com/shorts/9y91My_upXU,38.02,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),What did the little girl in the green dress and the little girl in the blue dress do when the statue pretended to fall?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","They tried to support it, thinking they had broken it.",They laughed and walked away.,They ignored it and continued playing.,They asked an adult for help.,None of the above
0933-7,bLr422lyAyY,https://youtube.com/shorts/bLr422lyAyY,8.62,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why did the man in the costume light the fire?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To catch the woman's attention for a prank.,To surprise the person unexpectedly.,To start a campfire.,To signal the end of an event.,None of the above
0939-7,vz9D4nqhTyk,https://youtube.com/shorts/vz9D4nqhTyk,37.68,Multiple-choice Question with a Single Correct Answer,Element Counting,How many people are actually playing roles in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Two,One,Four,Three,None of the above
0942-7,ly70cIZgrRA,https://youtube.com/shorts/ly70cIZgrRA,30.93,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,What is the purpose of the man catching and breaking the egg with the spatula?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To show how fragile eggs are,To make scrambled eggs,To demonstrate a cooking technique,To clean the spatula,None of the above
0946-7,JmEOYcf8wiE,https://youtube.com/shorts/JmEOYcf8wiE,44.2,Multiple-choice Question with a Single Correct Answer,Positional Relationship,Which foot did the man touch after the chicken stopped moving?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Both feet,Neither foot,Left foot,Right foot,None of the above
0949-7,GpJpQzdYtL0,https://www.youtube.com/shorts/GpJpQzdYtL0,59.9,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Where does the boss appear in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Only in the middle,At the beginning and end,Throughout the video,Only at the end,None of the above
0950-7,Pagl1zg0j4A,https://www.youtube.com/shorts/Pagl1zg0j4A,52.55,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,What is the state of the ball when the man strikes the tuning fork for the second time?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Moving upwards,Spinning,Moving downwards,Stationary,None of the above
0952-7,RLEEXr_WsRQ,https://www.youtube.com/shorts/RLEEXr_WsRQ,18.88,Multiple-choice Question with a Single Correct Answer,Element Localization,What color is the dress of the third person in the picture?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Green,Blue,Orange-Black,Pink,None of the above
0956-7,Evie7TV-E8s,https://www.youtube.com/shorts/Evie7TV-E8s,39.72,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,What is the rotation direction of the red stick?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Counterclockwise,Upward,Clockwise,Downward,None of the above
0957-7,DtZdE1P45yQ,https://www.youtube.com/shorts/DtZdE1P45yQ,83.22,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,How did the substance in the beaker end up on the rod?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It was poured onto the rod.,It was left to dry on the rod.,It adhered to the rod when inserted.,It was pulled out and wrapped around the rod.,None of the above
0973-7,BkFjtOqLNmk,https://www.youtube.com/shorts/BkFjtOqLNmk,53.44,Multiple-choice Question with a Single Correct Answer,Event Localization,When did the man in the gray hoodie on the left get injured?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",While setting up the balloons,During the last balloon popping game,During the second balloon popping game,At the start of the video,None of the above
0974-7,_a6lFCUYTA4,https://www.youtube.com/shorts/_a6lFCUYTA4,17.45,Multiple-choice Question with a Single Correct Answer,Event Localization,When did the person in the video put the straw into the bottle?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",At the end of the video.,There is no straw.,Right before doing the trick.,At the beginning of the video.,None of the above
0976-7,fPW-zkcTRgM,https://www.youtube.com/shorts/fPW-zkcTRgM,40.96,Multiple-choice Question with a Single Correct Answer,Event Localization,Who answers the question first in the first scene of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Neither answers,Both answer at the same time,The person on the right,The person on the left,None of the above
0983-7,9btQkaci6kA,https://www.youtube.com/shorts/9btQkaci6kA,27.7,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Why does a second person appear in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",They are a security guard.,They are a painted silhouette.,They are a passerby.,They are a friend of the artist.,None of the above
0985-7,xhCvWSZOo8A,https://www.youtube.com/shorts/xhCvWSZOo8A,14.44,Multiple-choice Question with a Single Correct Answer,Plot Attribute,Where does the money in the cup at the end of the video come from?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",The man's right ear,The person's hand,The table,The cup at the beginning,None of the above
0995-7,sVsv_cKxmXY,https://www.youtube.com/shorts/sVsv_cKxmXY,62.29,Multiple-choice Question with a Single Correct Answer,Event Localization,What is the answer to the eighth question in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Over the top,Not good enough,Up to no good,Long over due,None of the above
0996-7,q8cjGfTq5XI,https://www.youtube.com/shorts/q8cjGfTq5XI,59.74,Multiple-choice Question with a Single Correct Answer,Event Localization,What is the third timekeeping tool shown in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Hourglass,Clock with pendulum,Water clock,Sundial,None of the above
0999-7,TE7YjiQZpZo,https://www.youtube.com/shorts/TE7YjiQZpZo,60.01,Multiple-choice Question with a Single Correct Answer,Event Localization,How does the man playing Curly interact with the branches on the ground?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","He trips over them and falls, matching Curly's comedic style.","He trips, falls, and then gets back up to continue moving.",He steps over them carefully.,He avoids them entirely.,None of the above
1002-7,W7aL-aUocLA,https://www.youtube.com/shorts/W7aL-aUocLA,25.43,Multiple-choice Question with a Single Correct Answer,Event Localization,How did the man catch the fourth stick in the first scene?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",By kicking it with his foot and then catching it with his hand,By letting it fall to the ground,With his left hand,With his right hand,None of the above
1009-7,m_H3uWi3_2o,https://www.youtube.com/shorts/m_H3uWi3_2o,12.65,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What is the man's reaction in the first two scenes after the visitor waves at him?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He seems disappointed and walks away.,He ignores the visitor completely.,He starts discussing the art pieces animatedly.,He is enthusiastic and eager to engage.,None of the above
1011-7,QV6iOzP_OXY,https://www.youtube.com/shorts/QV6iOzP_OXY,31.95,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,Why did the woman use the hose on the man?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",She was angry at him.,He played a prank on her.,He was dirty.,She thought he accidentally ate soap.,None of the above
1018-7,1jh1WQq_fHs,https://www.youtube.com/shorts/1jh1WQq_fHs,19.39,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What was the rapper's reaction after the traffic controller took his microphone?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He hesitated before continuing performing.,He is still performing.,He left the stage.,He argued with the traffic controller.,None of the above
1020-7,C4l7rfjX49I,https://www.youtube.com/shorts/C4l7rfjX49I,13.12,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What is the baby's reaction when they see their dad?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Crying,Excitement and joy,Expressionless and looking away,Laughing,None of the above
1023-7,m_H3uWi3_2o,https://www.youtube.com/shorts/m_H3uWi3_2o,12.65,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What was the man's reaction after the first woman talked to him?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He was frustrated or disappointed.,He was indifferent.,He was excited and happy.,He was confused.,None of the above
1031-7,RbdWggNEZGw,https://www.youtube.com/shorts/RbdWggNEZGw,39.72,Multiple-choice Question with a Single Correct Answer,Character Emotion Attribute,What emotion is the man in the white shirt eating a banana experiencing?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Boredom,Relaxation,Surprise,Calm,None of the above
1037-7,y-Ey4mW-BKs,https://www.youtube.com/shorts/y-Ey4mW-BKs,57.69,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why does the man make an OK gesture at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To indicate the drink is satisfactory.,To express approval of the drink.,To imitate the blonde woman.,To show he enjoyed the drink.,None of the above
1044-7,gpeIf-lCeIQ,https://www.youtube.com/shorts/gpeIf-lCeIQ,21.23,Multiple-choice Question with a Single Correct Answer,Plot Attribute,What is the psychological state of the person under the quilt?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Deeply engrossed in a video game.,Surprised and confused.,Focused on the game.,Calm and relaxed.,None of the above
1045-7,uXvcjTHtZIs,https://www.youtube.com/shorts/uXvcjTHtZIs,20.67,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why did the person on the left hug the one in the tie-dye hoodie?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To prevent their mother from finding out about the fainting.,As a spontaneous expression of joy.,They were celebrating a magic trick.,Because they were impressed by a trick.,None of the above
1046-7,X31PraTwwnE,https://www.youtube.com/shorts/X31PraTwwnE,22.91,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why did the person in the black hat throw the person in the gray T-shirt into the pool?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It was a prank.,They wanted to start a fight.,They believed the person in the gray T-shirt had pushed them in earlier.,They were angry.,None of the above
1049-7,3krczYGxVjE,https://www.youtube.com/shorts/3krczYGxVjE,36.73,Multiple-choice Question with a Single Correct Answer,Local Event Attribute,What was the person trying to achieve by hitting the dog with a slipper?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Disciplining the dog,Getting the dog to turn off the lights,Expressing frustration,Distracting the dog,None of the above
1051-7,NK6UDnyZf4g,https://www.youtube.com/shorts/NK6UDnyZf4g,12.08,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,What is the man in black expressing by biting his hand in the photo?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",Nostalgia,Holding back emotions,Mimicking childhood actions,Sentimentality,None of the above
1053-7,cSzVOc6h_Us,https://www.youtube.com/shorts/cSzVOc6h_Us,15.15,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why did the man in the black T-shirt raise his hat?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To pretend the seat was occupied.,To show respect.,To adjust his hat.,To greet someone.,None of the above
1055-7,7Xofsx0XAaM,https://www.youtube.com/shorts/7Xofsx0XAaM,14.19,Multiple-choice Question with a Single Correct Answer,Plot Attribute,What is the enlightenment value of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.","High, because it provides insightful content.","Low, because it focuses on educational content.","High, because it humorously depicts a prank that scares a girl.","Low, because it shows a messy prank with ketchup.",None of the above
1064-7,UKieuClPKvI,https://www.youtube.com/shorts/UKieuClPKvI,41.71,Multiple-choice Question with a Single Correct Answer,Character Reaction Causality,Why is the man surprised at the end of the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He forgot to light the fuse.,The firework exploded unexpectedly.,He returned to the bomb site after running a long way.,The bomb didn't explode.,None of the above
1075-7,GfygSdVWewQ,https://www.youtube.com/shorts/GfygSdVWewQ,60.61,Multiple-choice Question with a Single Correct Answer,Plot Attribute (Montage),Why does the video splice together shots of the ordinary man and Spider-Man?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To compare the exclusion of ordinary people with Spider-Man's hero identity.,To highlight Peter Parker's personal life.,To emphasize Spider-Man's powers.,To show Peter Parker's dual identity.,None of the above
1080-7,LD8Br6QMZqg,https://youtube.com/shorts/LD8Br6QMZqg,44.61,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why does the man seem amazed while peeling the carrot?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",He is using a new vegetable peeler.,He is peeling the carrot with his hands.,He doesn't understand why the other person had to go through so much trouble to peel the carrot.,He is using a sharpened spoon.,None of the above
1081-7,erlagkVhNDI,https://youtube.com/shorts/erlagkVhNDI,31.49,Multiple-choice Question with a Single Correct Answer,Element Attributes,What does the little green brick represent in the video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A Lego piece for building,A part of a monster-like box,Mouthwash,Grass,None of the above
1087-7,v93w7cXDNC0,https://www.youtube.com/shorts/v93w7cXDNC0,15.12,Multiple-choice Question with a Single Correct Answer,Displacement Attribute,What is the actual movement of the circle on the left?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It moves to the right.,It moves up and down.,It does not move.,It moves to the left.,None of the above
1090-7,myeDvP4Tz4E,https://www.youtube.com/shorts/myeDvP4Tz4E,35.74,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),What does the painting on the ground look like to the sheep?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",A solid wall,A broken bridge,A tunnel,A raised platform,None of the above
1091-7,1BW-MQMdTRQ,https://www.youtube.com/shorts/1BW-MQMdTRQ,14.77,Multiple-choice Question with a Single Correct Answer,Element Attributes (Optical Illusion),How many people can be identified in the last video?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",One,Three,Four,Two,None of the above
1095-7,O3DoSbaw4E0,https://www.youtube.com/shorts/O3DoSbaw4E0,8.66,Multiple-choice Question with a Single Correct Answer,Objective Causality (Videography Phenomenon & Illusion),What happens when the person in the upper left corner throws a small stone into the keg?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",It causes the keg to overflow.,It makes the keg disappear.,It causes someone to appear inside the keg.,It creates a visual effect with a splash of liquid.,None of the above
1101-7,budZcalJRO8,https://www.youtube.com/shorts/budZcalJRO8,10.3,Multiple-choice Question with a Single Correct Answer,Character Motivation Causality,Why did the man gradually submerge the piece of paper under water?,"Select one best answer to the above multiple-choice question based on the video. Respond with only the letter (A, B, C, D or E) of the correct option.",To create a visual effect of the paper emerging from the water.,To ensure a controlled transition.,To maintain the integrity of the image on the paper.,To make the paper completely wet.,None of the above
